                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4495,                0.82901,                0.94539,                0.83516,                0.77307,                 0.7978,                 0.6679,                 0.8915,                0.64682,                0.84202,              0.0033326,              0.0033326,              0.0033326
                      2,                 1.4214,                0.79031,                0.93624,                0.83103,                0.78226,                0.80551,                0.66637,                0.92833,                0.63911,                0.85108,               0.006402,               0.006402,               0.006402
                      3,                 1.4258,                0.79314,                0.93667,                0.81889,                0.77644,                0.79486,                0.66829,                0.90536,                0.69541,                0.84635,              0.0092073,              0.0092073,              0.0092073
                      4,                 1.4317,                0.79667,                0.93696,                0.83466,                0.78279,                0.80436,                0.67078,                0.91712,                0.71079,                0.84783,               0.008812,               0.008812,               0.008812
                      5,                 1.4143,                 0.7855,                0.93314,                0.81376,                0.78227,                0.79704,                0.66774,                0.90112,                0.68752,                0.84469,               0.008812,               0.008812,               0.008812
                      6,                 1.3963,                 0.7705,                0.92977,                0.82391,                0.77854,                0.80016,                0.66944,                0.90695,                0.70319,                0.84698,               0.008416,               0.008416,               0.008416
                      7,                  1.382,                0.76031,                0.92619,                0.82071,                0.78302,                 0.7977,                0.66727,                0.91082,                0.69188,                0.84758,                0.00802,                0.00802,                0.00802
                      8,                 1.3681,                 0.7483,                0.92331,                0.82721,                0.78589,                0.80063,                0.66943,                0.91409,                0.68528,                0.84763,               0.007624,               0.007624,               0.007624
                      9,                 1.3541,                0.73881,                0.92012,                0.82902,                 0.7847,                0.80478,                 0.6709,                0.90383,                0.63801,                0.84607,               0.007228,               0.007228,               0.007228
                     10,                 1.3454,                0.73248,                0.91831,                0.83254,                0.78206,                0.80651,                0.67255,                0.89978,                0.67344,                0.84551,               0.006832,               0.006832,               0.006832
                     11,                 1.3354,                0.72551,                 0.9164,                0.83025,                0.78589,                0.80709,                0.67276,                0.89879,                0.67401,                0.84497,               0.006436,               0.006436,               0.006436
                     12,                 1.3287,                0.71895,                0.91506,                0.83722,                0.78815,                0.80967,                0.67359,                0.89885,                0.65705,                0.84497,                0.00604,                0.00604,                0.00604
                     13,                 1.3194,                0.71274,                0.91234,                0.83594,                0.78939,                0.81057,                0.67422,                0.89744,                0.66228,                0.84496,               0.005644,               0.005644,               0.005644
                     14,                 1.3102,                 0.7061,                0.91081,                0.83442,                0.79097,                0.81184,                0.67506,                0.89846,                0.66095,                  0.845,               0.005248,               0.005248,               0.005248
                     15,                 1.3029,                0.70024,                0.90912,                0.83729,                0.79197,                0.81276,                0.67542,                0.89649,                0.66062,                 0.8447,               0.004852,               0.004852,               0.004852
                     16,                 1.2819,                0.68441,                0.91194,                0.83744,                0.79397,                0.81442,                0.67627,                 0.8954,                0.64924,                0.84441,               0.004456,               0.004456,               0.004456
                     17,                 1.2663,                0.67307,                0.90868,                0.83898,                0.79368,                0.81528,                0.67717,                0.89358,                0.65045,                0.84407,                0.00406,                0.00406,                0.00406
                     18,                 1.2559,                 0.6651,                0.90587,                0.83787,                0.79585,                0.81542,                0.67746,                0.89254,                0.64936,                0.84377,               0.003664,               0.003664,               0.003664
                     19,                 1.2446,                0.65756,                0.90314,                0.84087,                0.79524,                0.81639,                0.67823,                0.89118,                0.64669,                0.84331,               0.003268,               0.003268,               0.003268
                     20,                 1.2366,                0.65218,                0.90194,                 0.8407,                0.79681,                0.81738,                0.67874,                0.88975,                0.64237,                0.84305,               0.002872,               0.002872,               0.002872
                     21,                 1.2261,                0.64411,                0.89954,                0.84277,                0.79696,                0.81852,                0.67957,                0.88866,                0.63748,                0.84275,               0.002476,               0.002476,               0.002476
                     22,                 1.2165,                0.63699,                0.89697,                0.84295,                 0.7969,                0.81879,                0.67984,                0.88738,                0.63301,                0.84244,                0.00208,                0.00208,                0.00208
                     23,                 1.2061,                0.63014,                0.89536,                0.84361,                0.79795,                0.81954,                 0.6806,                0.88692,                0.63019,                0.84216,               0.001684,               0.001684,               0.001684
                     24,                 1.1953,                 0.6224,                0.89299,                0.84493,                0.79819,                 0.8202,                0.68056,                0.88649,                0.62735,                0.84181,               0.001288,               0.001288,               0.001288
                     25,                 1.1855,                0.61597,                0.89085,                0.84704,                0.79769,                0.82044,                0.68115,                0.88649,                 0.6253,                0.84164,               0.000892,               0.000892,               0.000892
