epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,613.361,0.97941,1.46084,0.002,0.88092,0.70729,0.83323,0.75048,0.70195,0.70867,0.00186,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956
2,1196.36,0.95752,0.73716,0.0019,0.82619,0.75004,0.83038,0.73738,0.73938,0.80134,0.002,0.0198897,0.00662991,0.0198897,0.00662991,0.0198897,0.00662991,0.0198897,0.00662991
3,1763.07,1.01708,0.7685,0.00206,0.89625,0.77624,0.84297,0.73838,0.81766,0.85323,0.00218,0.0296918,0.00989726,0.0296918,0.00989726,0.0296918,0.00989726,0.0296918,0.00989726
4,2325.49,1.05076,0.78432,0.00216,0.86828,0.76801,0.82491,0.72622,0.83663,0.84002,0.00231,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2886.11,1.00922,0.71235,0.00204,0.87486,0.77841,0.83314,0.74485,0.86002,0.83259,0.00231,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,3447.71,0.98791,0.66961,0.00197,0.89323,0.79625,0.85874,0.77059,0.76816,0.73499,0.00201,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,4009.12,0.95661,0.60392,0.00188,0.88174,0.79248,0.85879,0.77123,0.78434,0.78299,0.00207,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,4572.95,0.93612,0.58213,0.00186,0.89949,0.82379,0.86868,0.77869,0.77524,0.71599,0.00205,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,5135.36,0.921,0.55245,0.0018,0.90656,0.78754,0.85973,0.7704,0.75926,0.76316,0.00199,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,5699.16,0.90662,0.53213,0.0018,0.91284,0.80784,0.87257,0.78263,0.77694,0.71372,0.0021,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,6260.35,0.88293,0.51421,0.00172,0.89511,0.81079,0.8686,0.78383,0.75532,0.72897,0.00194,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,6824.62,0.8764,0.49713,0.00168,0.91685,0.81045,0.87408,0.79128,0.7478,0.69111,0.00198,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
