                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3019,                 4.2274,                 1.0276,                      0,                      0,                      0,                      0,                0.91467,                 3.9151,                0.82361,                      0,                      0,                      0
                      2,                 1.2589,                  4.236,                 1.0164,                      0,                      0,                      0,                      0,                0.92357,                 3.9156,                0.82555,             1.2253e-05,             1.2253e-05,             1.2253e-05
                      3,                 1.2437,                 4.1033,                 1.0317,                      0,                      0,                      0,                      0,                0.92389,                 3.9166,                0.82652,              2.401e-05,              2.401e-05,              2.401e-05
                      4,                 1.2464,                 4.2168,                 1.0147,                      0,                      0,                      0,                      0,                0.92332,                 3.9182,                0.82909,             3.5272e-05,             3.5272e-05,             3.5272e-05
                      5,                 1.2044,                 4.1459,                 1.0563,                      0,                      0,                      0,                      0,                0.91877,                 3.9112,                0.80168,              4.604e-05,              4.604e-05,              4.604e-05
                      6,                 1.0898,                 4.1563,                0.99882,                      0,                      0,                      0,                      0,                0.91918,                 3.9216,                 0.8029,             5.6313e-05,             5.6313e-05,             5.6313e-05
