                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63014,                 1.2965,                 0.8944,                0.78897,                0.78515,                0.80751,                0.67967,                0.93927,                 1.1221,                 1.0724,             0.00041657,             0.00041657,             0.00041657
                      2,                0.69648,                0.52172,                0.92699,                0.88127,                0.74313,                0.82107,                0.70277,                0.92119,                 1.2069,                 1.0649,             0.00080024,             0.00080024,             0.00080024
                      3,                0.71208,                0.54602,                0.93689,                0.89089,                0.78041,                0.82898,                0.71327,                0.95441,                0.97886,                 1.0987,              0.0011509,              0.0011509,              0.0011509
                      4,                0.70829,                 0.5039,                0.92865,                0.89359,                0.73765,                0.82295,                0.69406,                0.97181,                  1.267,                 1.1001,              0.0011015,              0.0011015,              0.0011015
                      5,                0.68621,                0.48519,                 0.9208,                 0.8778,                  0.798,                0.83551,                0.71369,                0.93082,                0.95757,                  1.073,              0.0011015,              0.0011015,              0.0011015
                      6,                  0.687,                0.45219,                0.92271,                0.90238,                0.76751,                0.83946,                0.70551,                0.93795,                 0.9726,                 1.0975,               0.001052,               0.001052,               0.001052
                      7,                0.67521,                0.43094,                0.91482,                0.89739,                0.76819,                0.83027,                0.71477,                0.91528,                 1.0253,                 1.0652,              0.0010025,              0.0010025,              0.0010025
                      8,                0.64728,                0.39448,                0.90451,                0.85173,                0.76988,                0.84719,                0.73028,                0.91358,                0.99001,                 1.0725,               0.000953,               0.000953,               0.000953
                      9,                0.63929,                0.40083,                0.89926,                0.84663,                0.74268,                 0.8377,                0.71331,                0.93295,                 1.0942,                 1.0677,              0.0009035,              0.0009035,              0.0009035
                     10,                 0.6136,                0.36771,                 0.8844,                 0.9177,                0.71006,                0.81086,                0.71037,                0.91159,                 1.5751,                  1.072,               0.000854,               0.000854,               0.000854
                     11,                0.60124,                0.36099,                0.88076,                 0.8538,                0.77441,                0.82185,                0.71129,                 0.9239,                 0.9567,                 1.0778,              0.0008045,              0.0008045,              0.0008045
                     12,                0.58626,                0.34209,                0.87452,                0.85472,                 0.7614,                0.84101,                0.72193,                0.92945,                 1.0197,                  1.082,               0.000755,               0.000755,               0.000755
                     13,                0.58339,                0.33806,                0.87448,                0.89414,                0.75514,                0.84251,                0.72389,                0.91078,                0.96591,                 1.0715,              0.0007055,              0.0007055,              0.0007055
                     14,                0.56742,                 0.3241,                0.85958,                0.89117,                0.76037,                0.83769,                0.72569,                 0.9058,                0.98489,                 1.0822,               0.000656,               0.000656,               0.000656
                     15,                0.55352,                 0.3029,                0.85149,                0.89255,                0.78307,                0.83672,                 0.7225,                0.91957,                0.99467,                 1.0989,              0.0006065,              0.0006065,              0.0006065
                     16,                0.50263,                0.26595,                0.77488,                0.86716,                0.72129,                 0.8194,                0.71025,                0.94006,                 1.2289,                  1.092,               0.000557,               0.000557,               0.000557
                     17,                 0.4861,                0.25297,                 0.7645,                0.89708,                0.72926,                0.83003,                0.71659,                0.91841,                 1.2502,                 1.0662,              0.0005075,              0.0005075,              0.0005075
                     18,                0.47343,                0.24694,                0.75659,                0.89981,                0.73058,                0.81268,                0.70817,                0.89993,                 1.1844,                 1.0501,               0.000458,               0.000458,               0.000458
                     19,                0.45917,                0.23736,                0.75338,                0.88388,                0.73093,                0.82507,                0.71371,                0.91371,                 1.1567,                 1.0811,              0.0004085,              0.0004085,              0.0004085
                     20,                0.44568,                0.22686,                0.74742,                0.90509,                0.75648,                0.83105,                 0.7213,                0.92747,                 1.0051,                 1.1109,               0.000359,               0.000359,               0.000359
                     21,                0.43832,                0.22302,                0.74848,                0.88998,                0.76219,                0.84974,                0.73136,                 0.9095,                0.99967,                 1.0864,              0.0003095,              0.0003095,              0.0003095
                     22,                0.42691,                0.21647,                 0.7461,                0.93138,                0.74623,                0.83719,                 0.7259,                0.91321,                 1.1249,                 1.1037,                0.00026,                0.00026,                0.00026
                     23,                0.41715,                0.20842,                0.74031,                0.92349,                0.75573,                0.84515,                0.73075,                0.91943,                 1.0655,                 1.0967,              0.0002105,              0.0002105,              0.0002105
                     24,                 0.4052,                0.20305,                0.73912,                0.91939,                0.74924,                0.84596,                0.73241,                0.90348,                 1.1062,                 1.0902,               0.000161,               0.000161,               0.000161
                     25,                0.39708,                0.19808,                 0.7342,                0.90063,                0.72945,                0.84535,                0.73263,                0.89654,                 1.1221,                 1.0918,              0.0001115,              0.0001115,              0.0001115
