                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6413,                 1.1615,                0.99698,                0.51035,                  0.435,                0.42516,                0.19853,                 1.5662,                  1.666,                0.88145,             0.00036988,             0.00036988,             0.00036988
                      2,                  1.627,                 1.0492,                0.98774,                0.52491,                0.42982,                0.41712,                   0.19,                 1.5378,                 1.3944,                0.86828,              0.0007109,              0.0007109,              0.0007109
                      3,                  1.624,                 1.0279,                0.98616,                0.55535,                 0.4915,                0.47913,                0.22121,                 1.5872,                 1.1121,                 0.8806,              0.0010226,              0.0010226,              0.0010226
                      4,                 1.5929,                0.99099,                0.97518,                 0.5755,                0.47339,                0.48076,                0.22526,                 1.5374,                 1.3699,                0.87759,             0.00097901,             0.00097901,             0.00097901
                      5,                 1.5782,                0.97231,                0.97336,                0.50623,                0.41532,                0.41526,                0.20217,                  1.523,                 1.4378,                0.88138,             0.00097901,             0.00097901,             0.00097901
                      6,                 1.5637,                0.95775,                0.97039,                0.49729,                0.46945,                 0.4396,                0.20922,                 1.5538,                 1.2923,                0.88071,             0.00093502,             0.00093502,             0.00093502
                      7,                  1.549,                0.94206,                0.96683,                0.54802,                0.47513,                0.48429,                0.22974,                 1.4529,                 1.1911,                0.86447,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.5396,                0.92718,                0.96122,                0.55305,                0.47971,                 0.4776,                 0.2349,                 1.4644,                  1.391,                0.87109,             0.00084703,             0.00084703,             0.00084703
                      9,                 1.5264,                0.91518,                0.95616,                0.56639,                0.50313,                0.49388,                0.23906,                 1.4314,                 1.4696,                 0.8505,             0.00080303,             0.00080303,             0.00080303
                     10,                 1.5208,                0.90684,                0.95469,                 0.5943,                0.52317,                0.52493,                0.25898,                 1.4374,                 1.5857,                0.86212,             0.00075904,             0.00075904,             0.00075904
                     11,                 1.5117,                0.89803,                0.95134,                0.55472,                0.47799,                0.46759,                0.23335,                 1.4585,                 1.5299,                0.86708,             0.00071504,             0.00071504,             0.00071504
                     12,                 1.4969,                0.88499,                0.94916,                0.63456,                0.52069,                0.54913,                0.27092,                 1.3507,                 1.3302,                0.83666,             0.00067104,             0.00067104,             0.00067104
                     13,                 1.4844,                0.87585,                0.94696,                0.61861,                0.52252,                0.53008,                0.24596,                  1.501,                 1.2769,                0.86584,             0.00062705,             0.00062705,             0.00062705
                     14,                  1.478,                0.87067,                0.94639,                0.57912,                0.50046,                0.50529,                0.25535,                 1.4012,                 1.1537,                0.84982,             0.00058305,             0.00058305,             0.00058305
                     15,                 1.4728,                0.86135,                0.94256,                0.66028,                0.52498,                0.56192,                0.26477,                 1.4224,                 1.4538,                0.85144,             0.00053906,             0.00053906,             0.00053906
                     16,                 1.4514,                 0.8522,                0.94432,                0.63822,                0.53844,                0.55607,                0.24226,                 1.5359,                 1.8074,                0.85256,             0.00049506,             0.00049506,             0.00049506
                     17,                 1.4397,                0.83623,                0.93925,                0.70097,                0.59962,                0.63723,                0.28643,                 1.3984,                 1.3866,                0.84116,             0.00045107,             0.00045107,             0.00045107
                     18,                 1.4343,                0.82711,                0.93993,                0.65208,                 0.5746,                0.59016,                0.27119,                 1.4088,                 1.3896,                0.84326,             0.00040707,             0.00040707,             0.00040707
                     19,                 1.4166,                 0.8158,                0.93521,                0.66425,                0.56682,                0.59624,                0.27418,                 1.4109,                 1.0528,                0.84141,             0.00036307,             0.00036307,             0.00036307
                     20,                 1.4117,                0.81117,                 0.9318,                0.63202,                0.53413,                0.53872,                0.24391,                 1.4882,                 1.7631,                0.85423,             0.00031908,             0.00031908,             0.00031908
                     21,                 1.4083,                0.80404,                0.93159,                0.64595,                0.57152,                0.57807,                0.27489,                 1.3896,                 1.3796,                0.83965,             0.00027508,             0.00027508,             0.00027508
                     22,                 1.3994,                0.79501,                0.92875,                 0.6731,                0.58191,                0.60503,                0.27066,                 1.4382,                 1.2032,                0.84378,             0.00023109,             0.00023109,             0.00023109
                     23,                 1.3892,                0.78709,                0.92802,                0.64919,                0.57013,                0.57983,                0.26481,                 1.4346,                 1.1476,                 0.8444,             0.00018709,             0.00018709,             0.00018709
                     24,                 1.3822,                 0.7813,                0.92612,                0.68061,                0.59947,                0.61469,                0.28154,                 1.4075,                 1.0536,                0.84083,              0.0001431,              0.0001431,              0.0001431
                     25,                 1.3778,                0.77549,                0.92504,                0.69779,                0.59245,                0.62744,                0.28315,                 1.4154,                 1.1658,                0.84256,             9.9101e-05,             9.9101e-05,             9.9101e-05
