                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1193,                0.77978,                0.88522,                      0,                      0,                      0,                      0,                      0,                 743.67,                      0,              0.0033327,              0.0033327,              0.0033327
                      2,                 1.1352,                0.74401,                0.88834,                      0,                      0,                      0,                      0,                      0,                 751.05,                      0,               0.006402,               0.006402,               0.006402
                      3,                 1.1699,                0.77363,                0.89597,                      0,                      0,                      0,                      0,                      0,                  705.8,                      0,              0.0092074,              0.0092074,              0.0092074
                      4,                  1.193,                0.79587,                0.90086,                      0,                      0,                      0,                      0,                      0,                 713.53,                      0,               0.008812,               0.008812,               0.008812
                      5,                 1.1921,                0.78936,                0.90091,                      0,                      0,                      0,                      0,                      0,                 692.89,                      0,               0.008812,               0.008812,               0.008812
                      6,                 1.1885,                0.77701,                0.90008,                      0,                      0,                      0,                      0,                      0,                 707.91,                      0,               0.008416,               0.008416,               0.008416
                      7,                 1.1761,                0.76891,                0.89844,                      0,                      0,                      0,                      0,                      0,                 713.93,                      0,                0.00802,                0.00802,                0.00802
                      8,                 1.1664,                0.75877,                0.89557,                      0,                      0,                      0,                      0,                      0,                 715.18,                      0,               0.007624,               0.007624,               0.007624
                      9,                 1.1633,                0.75189,                0.89505,                      0,                      0,                      0,                      0,                      0,                 728.85,                      0,               0.007228,               0.007228,               0.007228
                     10,                 1.1518,                 0.7437,                0.89279,                      0,                      0,                      0,                      0,                      0,                 733.22,                      0,               0.006832,               0.006832,               0.006832
                     11,                 1.1443,                0.73717,                0.89142,                      0,                      0,                      0,                      0,                      0,                 749.14,                      0,               0.006436,               0.006436,               0.006436
                     12,                 1.1385,                0.72848,                0.89054,                      0,                      0,                      0,                      0,                      0,                 752.85,                      0,                0.00604,                0.00604,                0.00604
                     13,                 1.1324,                0.72047,                0.88804,                      0,                      0,                      0,                      0,                      0,                 759.28,                      0,               0.005644,               0.005644,               0.005644
                     14,                 1.1273,                0.71503,                 0.8879,                      0,                      0,                      0,                      0,                      0,                 766.54,                      0,               0.005248,               0.005248,               0.005248
                     15,                   1.12,                 0.7092,                0.88601,                      0,                      0,                      0,                      0,                      0,                 769.44,                      0,               0.004852,               0.004852,               0.004852
                     16,                 1.1032,                0.69806,                 0.8831,                      0,                      0,                      0,                      0,                      0,                  762.5,                      0,               0.004456,               0.004456,               0.004456
                     17,                 1.0971,                0.68999,                0.88241,                      0,                      0,                      0,                      0,                      0,                 765.15,                      0,                0.00406,                0.00406,                0.00406
                     18,                 1.0869,                0.68015,                0.88025,                      0,                      0,                      0,                      0,                      0,                 769.65,                      0,               0.003664,               0.003664,               0.003664
                     19,                 1.0814,                0.67261,                0.87832,                      0,                      0,                      0,                      0,                      0,                 772.55,                      0,               0.003268,               0.003268,               0.003268
                     20,                 1.0697,                0.66253,                 0.8758,                      0,                      0,                      0,                      0,                      0,                 776.73,                      0,               0.002872,               0.002872,               0.002872
                     21,                 1.0617,                0.65569,                0.87476,                      0,                      0,                      0,                      0,                      0,                 779.96,                      0,               0.002476,               0.002476,               0.002476
                     22,                 1.0531,                0.64552,                0.87156,                      0,                      0,                      0,                      0,                      0,                 782.22,                      0,                0.00208,                0.00208,                0.00208
                     23,                 1.0448,                0.63943,                0.87058,                      0,                      0,                      0,                      0,                      0,                 785.61,                      0,               0.001684,               0.001684,               0.001684
                     24,                 1.0349,                0.63225,                0.86828,                      0,                      0,                      0,                      0,                      0,                 787.98,                      0,               0.001288,               0.001288,               0.001288
                     25,                 1.0285,                0.62459,                 0.8674,                      0,                      0,                      0,                      0,                      0,                 790.09,                      0,               0.000892,               0.000892,               0.000892
