                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3754,                0.80505,                0.95562,                0.87459,                0.81205,                0.84954,                 0.7019,                0.79182,                0.52469,                0.82263,              0.0033329,              0.0033329,              0.0033329
                      2,                 1.3249,                0.69353,                0.93426,                0.83871,                0.81569,                0.84595,                0.69904,                0.81197,                0.55316,                0.83004,              0.0064022,              0.0064022,              0.0064022
                      3,                 1.3282,                0.69818,                0.93637,                0.85645,                0.82091,                0.83192,                0.69183,                  0.811,                0.59494,                0.82872,              0.0092076,              0.0092076,              0.0092076
                      4,                  1.302,                0.68451,                 0.9323,                0.86302,                0.81822,                0.84237,                0.70031,                 0.7973,                0.57734,                0.82656,               0.008812,               0.008812,               0.008812
                      5,                 1.2428,                0.64143,                0.91872,                0.87345,                0.82329,                0.85553,                0.70649,                0.79798,                0.58036,                 0.8244,               0.008812,               0.008812,               0.008812
                      6,                 1.1987,                0.60981,                0.90924,                0.88433,                 0.8334,                0.86084,                0.70951,                0.79248,                0.52768,                0.82444,               0.008416,               0.008416,               0.008416
                      7,                 1.1696,                 0.5898,                0.90191,                0.88913,                0.83795,                0.86428,                0.71227,                0.79257,                0.48216,                0.82506,                0.00802,                0.00802,                0.00802
                      8,                 1.1442,                0.57291,                 0.8965,                 0.8989,                0.84386,                 0.8717,                0.71635,                0.78903,                0.46336,                0.82287,               0.007624,               0.007624,               0.007624
                      9,                 1.1248,                 0.5596,                0.89233,                0.90164,                0.84609,                0.87403,                0.71892,                0.78638,                0.46089,                 0.8218,               0.007228,               0.007228,               0.007228
                     10,                 1.1049,                  0.548,                0.88761,                0.90349,                0.84945,                0.87758,                0.72161,                0.78468,                0.45913,                 0.8214,               0.006832,               0.006832,               0.006832
                     11,                 1.0864,                0.53677,                 0.8844,                0.90382,                0.85358,                0.88099,                0.72344,                0.78489,                0.46584,                0.82216,               0.006436,               0.006436,               0.006436
                     12,                 1.0703,                0.52765,                0.88141,                0.90621,                0.85563,                0.88271,                0.72458,                0.78397,                0.46069,                0.82164,                0.00604,                0.00604,                0.00604
                     13,                 1.0572,                0.51928,                0.87745,                0.90878,                 0.8564,                0.88385,                0.72557,                 0.7842,                0.45955,                0.82165,               0.005644,               0.005644,               0.005644
                     14,                 1.0446,                0.51218,                0.87502,                0.90655,                0.85818,                0.88467,                0.72635,                0.78316,                0.46209,                0.82182,               0.005248,               0.005248,               0.005248
                     15,                 1.0293,                0.50322,                0.87235,                 0.9077,                 0.8584,                0.88577,                0.72659,                0.78249,                 0.4641,                0.82189,               0.004852,               0.004852,               0.004852
                     16,                 1.0234,                0.49738,                0.87533,                0.91094,                0.85934,                 0.8863,                 0.7274,                0.78243,                0.45792,                0.82207,               0.004456,               0.004456,               0.004456
                     17,                 1.0059,                0.48757,                0.87192,                0.90966,                0.86007,                0.88744,                0.72833,                0.78273,                0.45799,                0.82231,                0.00406,                0.00406,                0.00406
                     18,                0.98831,                 0.4789,                0.86817,                0.91073,                0.86104,                0.88849,                0.72881,                0.78211,                0.45879,                0.82233,               0.003664,               0.003664,               0.003664
                     19,                0.97388,                0.47047,                0.86448,                0.91199,                0.86263,                0.88936,                0.72952,                0.78254,                0.45497,                0.82257,               0.003268,               0.003268,               0.003268
                     20,                0.95697,                0.46181,                0.86121,                 0.9135,                0.86379,                0.89094,                0.73082,                  0.782,                0.45522,                0.82256,               0.002872,               0.002872,               0.002872
                     21,                0.93962,                0.45267,                0.85763,                0.91452,                0.86594,                0.89247,                0.73121,                0.78138,                0.45553,                0.82259,               0.002476,               0.002476,               0.002476
                     22,                0.92346,                0.44437,                0.85484,                0.91408,                0.86841,                0.89404,                0.73208,                0.78085,                0.45441,                0.82263,                0.00208,                0.00208,                0.00208
                     23,                0.90721,                0.43658,                0.85102,                0.91763,                0.86928,                 0.8957,                0.73261,                0.78138,                0.45261,                 0.8226,               0.001684,               0.001684,               0.001684
                     24,                 0.8888,                 0.4267,                0.84819,                0.91972,                0.86929,                0.89719,                0.73324,                0.78115,                0.45001,                0.82251,               0.001288,               0.001288,               0.001288
                     25,                0.87109,                0.41842,                  0.845,                 0.9209,                 0.8705,                0.89822,                0.73371,                0.78091,                0.44652,                 0.8225,               0.000892,               0.000892,               0.000892
