                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0924,                0.56236,                 1.0133,                0.94478,                0.89356,                0.92613,                0.75931,                0.85054,                  0.455,                0.92946,              0.0033332,              0.0033332,              0.0033332
                      2,                 1.0837,                0.55705,                 1.0049,                0.95243,                0.89814,                0.93128,                0.76541,                0.83565,                0.43364,                0.92541,              0.0064026,              0.0064026,              0.0064026
                      3,                 1.1301,                0.59474,                  1.023,                0.94683,                 0.8888,                0.92864,                0.76587,                 0.8305,                0.43502,                0.92224,              0.0092079,              0.0092079,              0.0092079
                      4,                 1.1683,                0.62583,                 1.0387,                0.94284,                0.89634,                 0.9264,                0.76422,                0.83532,                0.43821,                0.92432,               0.008812,               0.008812,               0.008812
                      5,                  1.152,                0.61262,                 1.0302,                0.94297,                0.88787,                0.92624,                 0.7627,                0.83535,                0.44759,                0.92415,               0.008812,               0.008812,               0.008812
                      6,                 1.1388,                0.60217,                 1.0236,                0.94498,                0.90068,                0.92954,                0.76635,                0.83525,                0.43038,                0.92222,               0.008416,               0.008416,               0.008416
                      7,                  1.122,                0.58606,                 1.0147,                0.94798,                0.90323,                0.93158,                0.76648,                0.83594,                 0.4237,                0.92224,                0.00802,                0.00802,                0.00802
                      8,                 1.1073,                0.57575,                 1.0095,                0.94973,                0.90278,                0.93195,                0.76643,                0.83707,                0.42185,                0.92287,               0.007624,               0.007624,               0.007624
                      9,                 1.0938,                0.56336,                 1.0044,                 0.9519,                0.90234,                0.93255,                0.76646,                0.83633,                0.42119,                0.92246,               0.007228,               0.007228,               0.007228
                     10,                 1.0806,                0.55713,                 1.0001,                0.95183,                0.90366,                 0.9332,                0.76691,                0.83673,                0.41959,                0.92324,               0.006832,               0.006832,               0.006832
                     11,                 1.0709,                0.54946,                0.99591,                0.95185,                0.90398,                0.93381,                0.76725,                0.83724,                0.41834,                0.92364,               0.006436,               0.006436,               0.006436
                     12,                 1.0607,                0.54211,                0.98974,                0.95234,                0.90378,                0.93412,                0.76808,                0.83639,                0.41647,                0.92343,                0.00604,                0.00604,                0.00604
                     13,                 1.0466,                0.53089,                0.98613,                0.95236,                0.90405,                0.93436,                0.76855,                 0.8359,                0.41555,                0.92375,               0.005644,               0.005644,               0.005644
                     14,                  1.037,                0.52494,                0.98263,                0.95372,                0.90345,                0.93479,                0.76871,                0.83545,                0.41416,                0.92415,               0.005248,               0.005248,               0.005248
                     15,                 1.0279,                0.52021,                0.97799,                0.95247,                 0.9051,                0.93548,                0.76923,                0.83597,                0.41211,                0.92459,               0.004852,               0.004852,               0.004852
                     16,                 1.0079,                0.52768,                0.97336,                0.95496,                0.90509,                0.93621,                0.76965,                0.83641,                0.41013,                0.92492,               0.004456,               0.004456,               0.004456
                     17,                0.99365,                 0.5202,                0.97031,                0.95463,                 0.9064,                0.93678,                0.76996,                0.83683,                0.40754,                0.92556,                0.00406,                0.00406,                0.00406
                     18,                0.98235,                0.51282,                 0.9637,                0.95574,                0.90684,                0.93762,                 0.7708,                0.83726,                0.40558,                0.92588,               0.003664,               0.003664,               0.003664
                     19,                0.96556,                0.49662,                0.95872,                0.95335,                0.91022,                0.93811,                0.77149,                0.83719,                0.40425,                0.92598,               0.003268,               0.003268,               0.003268
                     20,                0.95176,                0.48901,                0.95225,                0.95581,                0.90945,                 0.9388,                0.77174,                0.83653,                0.40201,                0.92548,               0.002872,               0.002872,               0.002872
                     21,                0.93829,                0.47774,                0.94976,                0.95675,                0.91042,                0.93946,                0.77248,                0.83634,                0.39973,                 0.9259,               0.002476,               0.002476,               0.002476
                     22,                0.92094,                0.46506,                0.94341,                0.95751,                 0.9119,                0.94028,                0.77334,                0.83553,                0.39785,                0.92612,                0.00208,                0.00208,                0.00208
                     23,                0.90663,                0.45875,                0.93679,                0.95596,                 0.9131,                0.94077,                0.77384,                0.83463,                0.39557,                0.92624,               0.001684,               0.001684,               0.001684
                     24,                0.89221,                0.44753,                0.92979,                0.95536,                0.91396,                0.94173,                0.77467,                0.83418,                0.39401,                0.92629,               0.001288,               0.001288,               0.001288
                     25,                0.87473,                0.43855,                0.92406,                 0.9558,                0.91439,                0.94224,                0.77585,                0.83414,                0.39328,                 0.9265,               0.000892,               0.000892,               0.000892
