                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3019,                 4.2274,                 1.0276,                      0,                      0,                      0,                      0,                0.91467,                 3.9151,                0.82361,                      0,                      0,                      0
                      2,                 1.2589,                  4.236,                 1.0164,                      0,                      0,                      0,                      0,                0.92357,                 3.9156,                0.82555,             1.0025e-05,             1.0025e-05,             1.0025e-05
                      3,                 1.2437,                 4.1033,                 1.0317,                      0,                      0,                      0,                      0,                0.92389,                 3.9166,                0.82652,               1.51e-05,               1.51e-05,               1.51e-05
                      4,                 1.2464,                 4.2168,                 1.0147,                      0,                      0,                      0,                      0,                0.92332,                 3.9182,                0.82909,             1.5225e-05,             1.5225e-05,             1.5225e-05
                      5,                 1.2044,                 4.1459,                 1.0563,                      0,                      0,                      0,                      0,                  0.921,                 3.9143,                0.82159,               1.04e-05,               1.04e-05,               1.04e-05
