                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0093,                0.54986,                 1.0822,                 0.9512,                0.91314,                0.94106,                0.78083,                0.86416,                0.42937,                0.98984,              0.0033333,              0.0033333,              0.0033333
                      2,                 1.0398,                0.57885,                 1.0952,                0.95672,                0.90861,                 0.9411,                0.77894,                0.85846,                0.42553,                0.98169,              0.0064026,              0.0064026,              0.0064026
                      3,                 1.1142,                0.66002,                 1.1344,                0.94445,                0.90783,                0.93635,                0.77409,                0.85398,                0.43352,                0.97465,               0.009208,               0.009208,               0.009208
                      4,                 1.1768,                0.72161,                 1.1731,                0.94185,                0.90473,                0.93287,                0.77205,                0.85178,                0.44866,                0.97463,               0.008812,               0.008812,               0.008812
                      5,                 1.1772,                0.71394,                 1.1672,                0.93613,                0.90413,                0.93044,                 0.7724,                 0.8494,                0.45452,                0.97284,               0.008812,               0.008812,               0.008812
                      6,                 1.1628,                0.69354,                  1.163,                0.93924,                0.90177,                0.93096,                0.77241,                0.84952,                0.45673,                0.97408,               0.008416,               0.008416,               0.008416
                      7,                 1.1489,                0.67735,                 1.1517,                0.93962,                0.90193,                0.93078,                0.77315,                0.84833,                0.45512,                0.97329,                0.00802,                0.00802,                0.00802
                      8,                  1.137,                0.66339,                 1.1403,                0.94024,                0.90251,                0.93198,                 0.7732,                0.84824,                0.45148,                 0.9718,               0.007624,               0.007624,               0.007624
                      9,                 1.1223,                0.65178,                 1.1357,                0.94126,                0.90311,                 0.9327,                0.77357,                0.84815,                0.45088,                0.97124,               0.007228,               0.007228,               0.007228
                     10,                 1.1125,                0.63608,                 1.1337,                 0.9428,                0.90288,                0.93331,                0.77423,                0.84839,                0.44918,                0.97204,               0.006832,               0.006832,               0.006832
                     11,                 1.1014,                 0.6258,                 1.1223,                0.94478,                0.90234,                0.93386,                0.77482,                0.84962,                0.45174,                0.97214,               0.006436,               0.006436,               0.006436
                     12,                 1.0894,                0.61856,                 1.1156,                0.94419,                0.90377,                0.93477,                0.77544,                0.85046,                0.45156,                0.97199,                0.00604,                0.00604,                0.00604
