[0. 0.]
[-0.39819031 15.17069016]
[-0.37674866 15.21246109]
[-0.30092773 15.27264481]
[-0.32521973 15.44794464]
[-0.31013489 15.63647385]
[-0.29545288 15.74608231]
[-0.42173462 15.81072235]
[-0.43813782 15.80220032]
[-0.46408997 15.80139084]
[-0.45402527 15.88590851]
[-0.50401917 15.93801117]
[-0.51874695 16.02652435]
[-0.44938965 16.08935928]
[-0.48703613 16.32857819]
[-0.57514648 16.304599  ]
[-0.61499634 16.40389557]
[-0.61851196 16.54872208]
[-0.73385315 16.62496719]
[-0.77064514 16.71282425]
[-0.72814026 16.85421524]
[-0.65619507 16.97918167]
[-0.68115234 17.04938126]
[-0.70137939 17.17306824]
[-0.79328308 17.28054428]
[-0.78709412 17.37498703]
[-0.77288208 17.43221207]
[-0.74432983 17.722612  ]
[-0.78294373 17.86189651]
[-0.86444092 17.96735687]
[-0.83675842 18.03974304]
[-0.87712097 18.1253685 ]
[-0.96046143 18.19974213]
[-0.91981201 18.35023193]
[-0.99786987 18.41438217]
[-1.10259705 18.5831131 ]
[-1.12392883 18.66102905]
[-1.19809875 18.7916275 ]
[-1.16930542 18.83880157]
[-1.18016052 18.91318893]
[-1.18696594 18.99293976]
[-1.21300049 19.06816711]
[-1.22252197 19.20745697]
[-1.19934082 19.35812683]
[-1.17444153 19.48822937]
[-1.17105713 19.62127228]
[-1.15919495 19.76660614]
[-1.15245361 19.9978302 ]
[-1.17963562 20.10511322]
[-1.18766174 20.24620514]
[-1.31343994 20.35058441]
[-1.41087952 20.59867096]
[-1.46100464 20.65997772]
[-1.64623413 20.81771545]
[-1.48622742 20.93176117]
[-1.47098389 21.07263489]
[-1.59829712 21.19740753]
[-1.57565613 21.34042816]
[-1.64778442 21.61407776]
[-1.59326172 21.72802429]
[-1.74938965 21.93904877]
[-1.72964783 22.15106201]
[-1.81785889 22.20236206]
[-1.66392517 22.38456116]
[-1.69096069 22.44744415]
[-1.67165222 22.66964111]
[-1.67698364 22.86153107]
[-1.72276611 23.03325043]
[-1.72140198 23.22066193]
[-1.75154724 23.26690369]
[-1.66168518 23.4558197 ]
[-1.73269958 23.66652527]
[-1.76875916 23.81428223]
[-1.81552734 23.99143829]
[-1.90209045 24.23435822]
[-1.88549805 24.44723969]
[-1.7707428  24.63445892]
[-1.75711975 24.85674133]
[-1.86222229 24.98455505]
[-1.92605286 25.16543579]
[-1.79203491 25.26991119]
[-1.80290222 25.50787506]
[-1.80822449 25.71913147]
[-1.87183838 25.85015259]
[-1.93253479 26.03023224]
[-1.98965149 26.18819427]
[-1.8860199  26.30681305]
[-1.81111145 26.46822357]
[-1.64559021 26.65427551]
[-1.67719727 26.78307495]
[-1.77866821 27.10376282]
[-1.84954834 27.04949188]
[-1.76285706 27.34399414]
[-1.66766357 27.66220551]
[-1.72411499 27.89402313]
[-1.8640686  28.04399109]
[-1.64422913 28.32861481]
[-1.65737915 28.53462372]
[-1.58076477 28.68922882]
[-1.63080139 28.87744293]
[-1.59670715 29.04200897]
[-1.64352722 29.28861084]
[-1.72722168 29.43221283]
[-1.65784912 29.68974304]
[-1.63069763 29.91471252]
[-1.71443176 30.12422943]
[-1.67624817 30.30512543]
[-1.60610657 30.61376038]
[-1.52776794 30.79068604]
[-1.59291992 30.95915833]
[-1.66593628 31.23972778]
[-1.80822144 31.42881165]
[-1.7323822  31.60259857]
[-1.76840515 31.83460388]
[-1.94237671 31.91583099]
[-1.84840088 32.07682343]
[-1.87397766 32.32675934]
[-1.94269104 32.64156494]
[-1.97519836 32.78554535]
[-1.8969635  32.97214661]
[-1.77134399 33.11502686]
[-1.72812195 33.38329773]
[-1.67261047 33.5006134 ]
[-1.64068604 33.70229187]
[-1.66749268 33.94148407]
[-1.70085144 34.17955627]
[-1.75663147 34.32568512]
[-1.60133667 34.53926392]
[-1.54522095 34.71940765]
[-1.57692871 34.94219055]
[-1.62711182 35.0499939 ]
[-1.69202576 35.19245148]
[-1.8169281 35.4571228]
[-1.79930725 35.6627121 ]
[-1.6466156  35.77548676]
[-1.6613739  35.99125519]
[-1.6911377  36.19752808]
[-1.6297699  36.46880646]
[-1.71682739 36.77878265]
[-1.78736267 37.00522308]
[-1.7173645  37.02919006]
[-1.57080994 37.26208801]
[-1.53149719 37.4922287 ]
[-1.41504822 37.58244629]
[-1.34240112 37.66938019]
[-1.38197937 37.88146057]
[-1.18983154 38.0198761 ]
[-1.26277161 37.97859497]
[-1.33266296 38.37319946]
[-1.42867737 38.69826508]
[-1.30786438 38.95291595]
[-1.31277771 39.27801514]
[-1.32262268 39.51528625]
[-1.51864624 39.74398956]
[-1.42115784 39.90798645]
[-1.31857605 40.18216248]
[-1.50750732 40.42567596]
[-1.38560486 40.56230011]
[-1.36920776 40.76964722]
[-1.40317078 41.00645447]
[-1.3353363  41.14949646]
[-1.0933197  41.48436279]
[-1.13820496 41.78540192]
[-1.25333862 41.92021637]
[-1.20506897 42.05597382]
[-1.25507507 42.14176331]
[-1.38171387 42.28695526]
[-1.56167297 42.51773224]
[-1.34907227 42.87492676]
[-1.58478088 42.8349762 ]
[-1.50889587 43.11062317]
[-1.47446289 43.31413116]
[-1.47144165 43.45812225]
[-1.48720093 43.68141174]
[-1.65336609 43.94190521]
[-1.59883118 44.10288086]
[-1.70326843 44.37192078]
[-1.54377136 44.67612457]
[-1.63236084 44.75708466]
[-1.71911621 45.03486328]
[-1.7282959  45.27271576]
[-1.77791443 45.40084076]
[-1.77386169 45.71211853]
[-1.71526489 45.8022995 ]
[-1.41361389 46.13179932]
[-1.31362    46.35941925]
[-1.50583496 46.60105133]
[-1.36065369 46.80151825]
[-1.25693665 47.13207855]
[-1.17966309 47.4218811 ]
[-1.16470337 47.68553314]
[-1.24351501 47.88949585]
[-1.18664246 48.18678589]
[-1.10219116 48.37541046]
[-1.09552612 48.5488205 ]
[-1.01622925 48.67048035]
[-0.93556213 48.88577271]
[-0.91662292 49.30215759]
[-0.97042542 49.56799927]
[-0.8354126  49.65845184]
[-0.83693542 50.06622314]
[-0.84052124 50.38232422]
[-0.8256134  50.63477478]
[-0.92677002 50.83336792]
[-0.89598999 51.14245911]
[-0.71583557 51.36084442]
[-0.48686218 51.48969879]
[-0.7749054  51.71721039]
[-0.82142029 52.03077393]
[-1.03196106 52.23757629]
[-0.96411743 52.56651764]
[-1.33982849 52.90668335]
[-1.38640137 53.05819244]
[-1.57269897 53.2293045 ]
[-1.57771606 53.43403473]
[-1.48093567 53.59443054]
[-1.46823425 53.8884079 ]
[-1.49188843 54.1437851 ]
[-1.27225647 54.3906723 ]
[-1.16742249 54.65850372]
[-1.2949585  54.96430054]
[-1.08502197 55.32385254]
[-1.65175781 55.77765656]
[-1.84906616 56.11686707]
[-1.91036987 56.30419006]
[-1.9632843  56.48695221]
[-1.80385437 56.59814301]
[-1.75777283 56.89816284]
[-1.80425415 57.33701172]
[-1.85910339 57.49150391]
[-1.97838135 58.02932587]
[-2.03085937 58.40905457]
[-1.94023437 58.64676056]
[-2.13092346 58.97793579]
[-2.27661133 59.12333374]
[-2.39311523 59.2977478 ]
[-2.14202576 59.4662796 ]
[-2.05522766 59.67117462]
[-2.07209473 59.9029007 ]
[-2.00633545 60.08932343]
[-2.0741272  60.54648132]
[-2.02330933 60.87745819]
[-2.00098572 60.99138947]
[-1.95325012 61.24774628]
[-2.22384644 61.54403534]
[-2.22683716 61.85996552]
[-2.1213562  62.14986267]
[-2.13859558 62.3875885 ]
[-2.12780457 62.57438812]
[-2.11892395 62.79582825]
[-1.9552002  62.94762878]
[-1.8880249  63.15254059]
[-2.13952026 63.46491089]
[-2.28204041 63.71887665]
[-2.25333252 63.96502075]
[-2.28062439 64.21989441]
[-2.26208191 64.47102661]
[-2.2442749  64.70289307]
[-2.1809967  64.93309784]
[-2.14511108 65.22170105]
[-2.05055847 65.46490631]
[-1.83963318 65.61403046]
[-1.89530792 65.7955246 ]
[-1.91052399 65.97721863]
[-1.93147583 66.18465729]
[-1.98119812 66.42258606]
[-1.89599762 66.61590118]
[-1.93006287 66.86329956]
[-2.02675171 67.12679596]
[-2.08332672 67.4264679 ]
[-2.06982574 67.636129  ]
[-2.10301819 67.82071228]
[-2.11877441 67.95532074]
[-2.19060974 68.14779892]
[-2.11770935 68.40772858]
[-2.18702393 68.4997879 ]
[-2.10535583 68.80540085]
[-1.97861328 68.9203598 ]
[-1.73811035 69.15797501]
[-1.73011017 69.40459442]
[-1.98761139 69.41066895]
[-2.02002869 69.68188019]
[-1.99591064 69.99364166]
[-2.02660828 70.21388092]
[-1.97601776 70.38647461]
[-1.86883698 70.59276276]
[-1.96701508 70.88370361]
[-1.87116852 71.09470978]
[-1.94326019 71.3328598 ]
[-1.75556488 71.58305969]
[-1.75427094 71.63585205]
[-1.63280182 71.90771027]
[-1.61652374 72.09815674]
[-1.54883423 72.19076843]
[-1.61750641 72.46700897]
[-1.68232727 72.84206238]
[-1.70917053 73.08197632]
[-1.64230042 73.29805756]
[-1.69342194 73.39105835]
[-1.54453888 73.57706299]
[-1.63685913 73.81289825]
[-1.58603058 73.99827271]
[-1.58653259 74.09789124]
[-1.67162018 74.35218506]
[-1.6688736  74.46322632]
[-1.7953537  74.65019684]
[-1.83809357 74.93104858]
[-1.67417755 75.32147217]
[-1.73927765 75.31021881]
[-1.60283203 75.55417175]
[-1.58880005 75.78885193]
[-1.6208847  76.02902679]
[-1.64557343 76.23911896]
[-1.82032318 76.53564453]
[-1.7667099  76.79598236]
[-1.81615753 77.04972076]
[-1.86564331 77.33800507]
[-1.80266571 77.54301758]
[-1.97877045 77.71218109]
[-2.01555023 77.98060913]
[-2.05156403 78.22988586]
[-2.07619781 78.48276215]
[-2.06694794 78.88046112]
[-2.12259369 79.07926941]
[-1.94207306 79.26278229]
[-2.02924652 79.4381485 ]
[-2.30259552 79.70459747]
[-2.21417084 79.81124268]
[-2.20383453 80.00330811]
[-2.45644073 80.2241806 ]
[-2.34927521 80.52019501]
[-2.34160309 80.72323303]
[-2.36251373 80.94296875]
[-2.28004913 81.2397049 ]
[-2.26749725 81.46931152]
[-2.36325684 81.76044464]
[-2.19548798 81.8990448 ]
[-2.37859344 82.19623108]
[-2.37964325 82.47978973]
[-2.4741272  82.71305084]
[-2.3377182  82.91170044]
[-2.57733002 83.14332886]
[-2.53856964 83.33188324]
[-2.73815765 83.52750854]
[-2.56614685 83.72203369]
[-2.48717499 83.86994934]
[-2.27643585 84.14465332]
[-2.37152405 84.5221283 ]
[-2.44565887 84.83248444]
[-2.51704102 85.07976837]
[-2.56773529 85.40618591]
[-2.79020233 85.62064056]
[-2.75498657 86.03720856]
[-2.89717712 86.15253296]
[-2.71410828 86.49895172]
[-2.83754578 86.67474823]
[-2.82926483 86.97735443]
[-2.9541275  87.40235596]
[-2.94482117 87.63237152]
[-2.8958725  87.97318268]
[-2.95653534 88.20812073]
[-2.96232147 88.33334045]
[-2.95701904 88.58825836]
[-2.84682465 88.74292908]
[-2.76268616 88.96682587]
[-2.68397217 89.29281616]
[-2.69591522 89.35126801]
[-2.75594177 89.724646  ]
[-2.83126068 89.70080872]
[-2.74762115 89.92374878]
[-2.80520325 90.08612518]
[-2.88113861 90.17369537]
[-2.85991516 90.28213654]
[-2.84561462 90.54130859]
[-2.90148315 90.75030975]
[-3.26010742 90.80927353]
[-3.36949768 90.92199097]
[-3.21678772 91.30594025]
[-3.25194702 91.45057449]
[-3.33539429 91.51892624]
[-3.39124451 91.76207657]
[-3.51880188 91.94893417]
[-3.81747437 92.10951538]
[-3.79944458 92.41399612]
[-3.58653564 92.76575394]
[-3.53919678 92.94964523]
[-3.40519714 93.16924057]
[-3.59393616 93.52316284]
[-3.75460205 93.67156296]
[-3.66897278 93.94291077]
[-3.45290833 94.14176559]
[-3.51373901 94.41512604]
[-3.38215027 94.60119553]
[-3.4028717  94.97086563]
[-3.62743835 95.0317627 ]
[-3.65021667 95.2504097 ]
[-3.59182129 95.57369919]
[-3.53425903 95.89376831]
[-3.55457458 96.20220642]
[-3.34870911 96.48102875]
[-3.51817627 96.78119888]
[-3.41614075 97.09594803]
[-3.51053467 97.45014496]
[-3.17190857 97.66893082]
[-3.29746399 97.91305084]
[-3.03744812 98.14765091]
[-3.11860962 98.475811  ]
[-3.03592834 98.78750534]
[-3.04607239 99.01494141]
[-2.98257446 99.31568146]
[-2.97172852 99.60638504]
[-2.95218201 99.78497238]
[ -2.98125    100.02707443]
[ -3.16160278 100.3245018 ]
[ -3.25150146 100.58983307]
[ -3.23541565 100.95423126]
[ -3.25882568 101.20066147]
[ -3.29856262 101.57489014]
[ -3.41813965 101.88611298]
[ -3.65992432 102.12695312]
[ -3.66370544 102.4236145 ]
[ -3.69781494 102.62424469]
[ -3.61586304 102.85325165]
[ -3.52501526 103.17142487]
[ -3.37622986 103.47269897]
[ -3.24400635 103.68408966]
[ -3.23146973 103.97000275]
[ -3.20174255 104.13970795]
[ -3.37171936 104.3415863 ]
[ -3.320047  104.6723465]
[ -3.25801086 104.85548859]
[ -3.33325195 105.15572815]
[ -3.23813782 105.43860474]
[ -3.10880737 105.68421021]
[ -3.13293152 105.86233368]
[ -3.05783081 106.05743103]
[ -3.0598053  106.26148682]
[ -3.06047668 106.48773499]
[ -2.99391479 106.71087952]
[ -2.93549805 106.8938446 ]
[ -3.04038696 107.06627808]
[ -3.11544189 107.27628021]
[ -3.12125549 107.35638733]
[ -3.03676758 107.51078186]
[ -3.09008179 107.64480438]
[ -3.18459473 107.79608459]
[ -3.37101135 107.96838989]
[ -3.26853943 108.07489166]
[ -3.10643616 108.22554321]
[ -3.12079773 108.4058197 ]
[ -3.12581787 108.59126892]
[ -3.09282837 108.74070587]
[ -3.19263611 108.887677  ]
[ -3.24702148 109.01056366]
[ -3.26054382 109.07617645]
[ -3.24463806 109.27270813]
[ -3.2473877  109.32429047]
[ -2.8331604  109.46766968]
[ -2.77366333 109.54677124]
[ -2.77555237 109.58251801]
[ -2.79836426 109.64696198]
[ -2.6537262  109.73617554]
[ -2.47683716 109.90757751]
[ -2.49440918 110.04350739]
[ -2.62873535 110.1127121 ]
[ -2.92328796 110.24380798]
[ -3.03905945 110.24748535]
[ -3.05525208 110.34328003]
[ -2.86030884 110.44873047]
[ -2.81400146 110.51339417]
[ -3.04274597 110.61602783]
[ -3.28964233 110.66068726]
[ -3.21826477 110.72107849]
[ -3.13871155 110.71777802]
[ -3.17896729 110.91552429]
[ -3.24570007 111.03862457]
[ -3.14656372 111.11073914]
[ -2.90013123 111.1927597 ]
[ -2.63755798 111.16963654]
[ -2.38619995 111.17189331]
[ -2.54179993 111.199263  ]
[ -2.32585754 111.29616547]
[ -2.17130737 111.31154938]
[ -2.0059906  111.36621704]
[ -2.02254944 111.37869568]
[ -2.25330811 111.56370392]
[ -2.18875732 111.58511658]
[ -2.03302307 111.61238556]
[ -2.30803528 111.58641815]
[ -2.30159912 111.69279175]
[ -2.35830994 111.64894257]
[ -2.14586792 111.7175293 ]
[ -2.11009521 111.74579163]
[ -2.20486145 111.77081909]
[ -1.80134583 111.88010101]
[ -1.64430237 111.82230988]
[ -1.84268188 111.90184479]
[ -1.79689026 111.93657837]
[ -1.73602905 111.98201141]
[ -1.5617157  111.88666534]
[ -1.49461365 112.02618561]
[ -1.29846191 112.10414886]
[ -1.28764343 112.17046814]
[ -1.30995483 112.32366028]
[ -1.18778992 112.41895599]
[ -0.99556274 112.61439056]
[ -0.80340576 112.67380219]
[ -0.84460144 112.7763916 ]
[ -0.69195862 112.80810852]
[ -0.77018433 112.85103302]
[ -0.60542297 112.94955597]
[ -0.35515747 113.01003723]
[ -0.27600403 113.03321075]
[ -0.14210815 113.09255524]
[ -0.17419739 113.32943268]
[-8.01971436e-02  1.13326891e+02]
[1.09442139e-01 1.13331654e+02]
[  0.31407166 113.32389984]
[  0.63007202 113.31558075]
[  0.96122131 113.22847443]
[  1.04742126 113.17878113]
[  1.31954956 113.19703674]
[  1.48573303 113.20441895]
[  1.67436218 113.19960175]
[  1.86592407 113.2510849 ]
[  1.97621155 113.24824982]
[  1.97135925 113.31790009]
[  2.07804871 113.24145508]
[  2.11683044 113.21914978]
[  2.33936768 113.20125732]
[  2.33180237 113.3391922 ]
[  2.54865112 113.39095764]
[  2.69933167 113.29126892]
[  3.09465942 113.07210083]
[  3.41679077 113.11783142]
[  3.66645203 113.11327057]
[  3.78264771 113.10198212]
[  3.98692322 113.19287415]
[  4.11344604 113.21035004]
[  4.31897278 113.29344482]
[  4.72793884 113.28123322]
[  4.8132843  113.19368896]
[  5.15447388 113.19988861]
[  5.35388489 113.36681061]
[  5.50729675 113.35053101]
[  5.55184326 113.29807892]
[  5.73145142 113.30532837]
[  5.97448425 113.24222107]
[  6.17272034 113.22972565]
[  6.40835266 113.2397995 ]
[  6.7783783  113.28608856]
[  6.78000183 113.39673004]
[  7.14445801 113.31042023]
[  7.21514587 113.26132965]
[  7.40610046 113.31919403]
[  7.47021484 113.31158752]
[  7.61475525 113.3271347 ]
[  7.94430542 113.26488953]
[  8.14176331 113.27666473]
[  8.4710968  113.32019501]
[  8.77174988 113.42643433]
[  8.91698608 113.4795166 ]
[  9.17723694 113.4945282 ]
[  9.44767151 113.45626373]
[  9.59073792 113.52957153]
[  9.8808075  113.57093048]
[ 10.18335266 113.76727905]
[ 10.41245728 113.75145111]
[ 10.71816101 113.68135986]
[ 10.82217712 113.75851898]
[ 11.08585205 113.69198914]
[ 11.17496948 113.74402618]
[ 11.71766052 113.75571289]
[ 12.09443359 113.82410736]
[ 12.4645752  113.72326202]
[ 12.75872803 113.79741364]
[ 12.95117188 113.82779846]
[ 13.17200012 113.82289429]
[ 13.45996399 113.82966003]
[ 13.81202698 113.9240448 ]
[ 14.483255   113.86835175]
[ 14.62402344 113.82489166]
[ 15.14368896 113.8212616 ]
[ 15.43851318 113.6673996 ]
[ 15.67409363 113.58132477]
[ 15.84313049 113.5377182 ]
[ 16.27479248 113.5790741 ]
[ 16.69925537 113.5595108 ]
[ 16.93349304 113.55654297]
[ 17.36677551 113.53019257]
[ 17.62760315 113.47526093]
[ 17.66989746 113.55873413]
[ 17.64243469 113.63308716]
[ 17.76955261 113.69323578]
[ 18.15324707 113.77002716]
[ 18.65780945 113.81795197]
[ 18.92164917 113.8411377 ]
[ 19.23209839 113.84032898]
[ 19.50152283 113.91915436]
[ 19.89973755 113.98809204]
[ 20.20376892 113.89256897]
[ 20.61323853 113.91702881]
[ 21.018927   113.97664642]
[ 21.22197876 113.99646912]
[ 21.52684326 114.01709595]
[ 21.82999725 114.01908569]
[ 21.99786072 114.05626984]
[ 22.32127533 114.14706421]
[ 22.58020935 114.19100037]
[ 23.11721954 114.18203735]
[ 23.4290802 114.3445755]
[ 23.79026184 114.29202728]
[ 24.09768219 114.3243866 ]
[ 24.50989838 114.38713684]
[ 24.68943481 114.46045685]
[ 24.83805695 114.49803009]
[ 25.29300079 114.45010376]
[ 25.64795685 114.46374817]
[ 26.01017456 114.54833832]
[ 26.2911911  114.52300568]
[ 26.60142059 114.50791016]
[ 27.1331131  114.54366455]
[ 27.24744263 114.59039459]
[ 27.6406189  114.41775208]
[ 28.13922272 114.39813843]
[ 28.21722717 114.62193451]
[ 28.58457642 114.63068237]
[ 29.04000854 114.57685394]
[ 29.41940155 114.603479  ]
[ 29.73865051 114.68620758]
[ 29.86600494 114.83594666]
[ 30.19707336 114.89244537]
[ 30.53127289 114.9299881 ]
[ 30.96293945 114.92625275]
[ 31.37425385 115.0028595 ]
[ 31.59661713 115.02862244]
[ 31.66412506 115.32140808]
[ 31.8608017  115.37469788]
[ 32.29024353 115.42328491]
[ 32.58791809 115.44245911]
[ 33.00557709 115.55266571]
[ 33.26907501 115.60338745]
[ 33.64207916 115.7149826 ]
[ 33.77204132 115.7197052 ]
[ 34.28714905 115.70163879]
[ 34.65712433 115.86396942]
[ 35.00351715 115.89217529]
[ 35.39518738 115.96396027]
[ 35.81633453 116.05517273]
[ 36.17888489 116.13107147]
